Date,open,high,low,close,vwap,quarterly P/E diluted,quarterly P/E basic,TTM P/E,TTM eps,TTM earnings
2023-10-10,5.53,5.8,5.51,5.68,5.6844,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-10-11,5.71,5.795,5.46,5.55,5.5677,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-10-12,5.56,5.6,5.11,5.11,5.2426,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-10-13,5.17,5.17,4.82,4.87,4.9089,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-10-16,5.15,5.88,5.05,5.77,5.6654,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-10-17,5.67,5.94,5.5706,5.83,5.8125,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-10-18,5.74,5.76,5.305,5.31,5.4525,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-10-19,5.32,5.385,5.165,5.22,5.248,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-10-20,5.22,5.47,5.16,5.34,5.3112,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-10-23,5.29,5.32,5.09,5.25,5.2268,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-10-24,5.33,5.39,5.23,5.265,5.2845,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-10-25,5.2,5.22,4.92,4.96,5.0117,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-10-26,4.96,5.31,4.94,5.23,5.1545,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-10-27,5.31,5.315,4.985,5.05,5.0874,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-10-30,5.06,5.066,4.72,4.85,4.8518,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-10-31,4.86,4.98,4.73,4.89,4.8891,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-11-01,4.94,4.94,4.67,4.75,4.7601,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-11-02,4.86,5.145,4.85,5.09,5.026,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-11-03,5.23,5.46,5.175,5.23,5.2684,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-11-06,5.23,5.31,5.05,5.11,5.1272,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-11-07,5.07,5.265,5.02,5.15,5.1574,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-11-08,5.16,5.26,5.05,5.06,5.0872,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-11-09,5.21,5.26,4.865,4.94,4.9949,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-11-10,5.76,6.1,5.42,5.64,5.6327,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-11-13,5.55,5.8498,5.48,5.78,5.7543,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-11-14,6.06,6.56,5.95,6.55,6.3196,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-11-15,6.62,6.92,6.58,6.85,6.8077,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-11-16,6.7,7.015,6.66,6.84,6.8297,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-11-17,6.93,7.26,6.825,7.19,7.0803,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-11-20,7.15,7.42,7.1001,7.35,7.275,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-11-21,7.23,7.29,7.03,7.15,7.1341,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-11-22,7.25,7.415,7.1303,7.19,7.2702,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-11-24,7.15,7.3375,7.1,7.19,7.2122,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-11-27,7.1,7.32,7.0,7.16,7.1957,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-11-28,7.15,7.21,7.0309,7.18,7.1412,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-11-29,7.31,7.7492,7.26,7.63,7.6189,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-11-30,7.69,7.76,7.42,7.46,7.5327,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-12-01,7.51,7.53,7.12,7.48,7.3785,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-12-04,7.43,7.59,7.2123,7.58,7.4257,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-12-05,7.47,7.48,7.11,7.2,7.2286,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-12-06,7.37,7.58,7.195,7.35,7.4106,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-12-07,7.43,7.58,7.3,7.54,7.482,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-12-08,7.5,7.76,7.41,7.75,7.6741,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-12-11,7.71,7.79,7.59,7.77,7.7523,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-12-12,7.73,7.825,7.6,7.74,7.7347,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-12-13,7.72,7.87,7.47,7.87,7.7082,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-12-14,8.0,8.225,7.77,8.22,8.0363,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-12-15,8.38,8.44,7.94,8.15,8.1494,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-12-18,8.21,8.5,8.05,8.46,8.3828,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-12-19,8.51,8.55,8.28,8.4,8.4368,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-12-20,8.31,8.33,7.84,7.85,8.0535,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-12-21,8.05,8.365,7.95,8.35,8.1656,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-12-22,8.41,8.69,8.25,8.41,8.466,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-12-26,8.45,8.63,8.28,8.57,8.5056,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-12-27,8.57,8.62,8.4,8.47,8.5008,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-12-28,8.48,8.55,8.295,8.4,8.4088,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2023-12-29,8.38,8.38,8.065,8.11,8.1611,0.0,0.0,0.0,-0.7849746000545159,-115362000.0
2024-01-02,7.97,7.995,7.475,7.58,7.7051,0.0,0.0,0.0,-0.8101516488864122,-117625000.0
2024-01-03,7.46,7.53,7.26,7.35,7.3884,0.0,0.0,0.0,-0.8101516488864122,-117625000.0
2024-01-04,6.92,7.26,6.705,7.07,7.0602,0.0,0.0,0.0,-0.8101516488864122,-117625000.0
2024-01-05,7.01,7.17,6.86,7.08,7.0497,0.0,0.0,0.0,-0.8101516488864122,-117625000.0
2024-01-08,7.1,7.66,7.079,7.51,7.4624,0.0,0.0,0.0,-0.8101516488864122,-117625000.0
2024-01-09,7.35,7.635,7.31,7.5,7.5072,0.0,0.0,0.0,-0.8101516488864122,-117625000.0
2024-01-10,7.47,7.4869,7.055,7.21,7.2181,0.0,0.0,0.0,-0.8101516488864122,-117625000.0
2024-01-11,7.17,7.249,6.83,7.12,7.0583,0.0,0.0,0.0,-0.8101516488864122,-117625000.0
2024-01-12,7.2,7.33,6.94,6.96,7.0482,0.0,0.0,0.0,-0.8101516488864122,-117625000.0
