,Instrument,Date,Price High,Price Low,Price Open,Price Close,Volume
0,MSFT.O,2019-01-02T00:00:00Z,101.75,98.94,99.55,101.12,35329345
1,MSFT.O,2019-01-03T00:00:00Z,100.185,97.2,100.1,97.4,42578410
2,MSFT.O,2019-01-04T00:00:00Z,102.51,98.93,99.72,101.93,44060620
3,MSFT.O,2019-01-07T00:00:00Z,103.2681,100.98,101.64,102.06,35656136
4,MSFT.O,2019-01-08T00:00:00Z,103.97,101.7134,103.04,102.8,31514415
5,MSFT.O,2019-01-09T00:00:00Z,104.88,103.2445,103.86,104.27,32280840
6,MSFT.O,2019-01-10T00:00:00Z,103.75,102.38,103.22,103.6,30067556
7,MSFT.O,2019-01-11T00:00:00Z,103.44,101.64,103.19,102.8,28314202
8,MSFT.O,2019-01-14T00:00:00Z,102.8716,101.26,101.9,102.05,28437079
9,MSFT.O,2019-01-15T00:00:00Z,105.05,101.88,102.51,105.01,31587616
10,MSFT.O,2019-01-16T00:00:00Z,106.255,104.96,105.26,105.38,29853865
11,MSFT.O,2019-01-17T00:00:00Z,106.625,104.76,105.0,106.12,28393015
12,MSFT.O,2019-01-18T00:00:00Z,107.9,105.91,107.46,107.71,37427587
13,MSFT.O,2019-01-22T00:00:00Z,107.1,104.86,106.75,105.68,32371253
14,MSFT.O,2019-01-23T00:00:00Z,107.04,105.34,106.12,106.71,25874294
15,MSFT.O,2019-01-24T00:00:00Z,107.0,105.34,106.86,106.2,23164838
16,MSFT.O,2019-01-25T00:00:00Z,107.88,106.59,107.24,107.17,31218193
17,MSFT.O,2019-01-28T00:00:00Z,106.48,104.66,106.26,105.08,29476719
18,MSFT.O,2019-01-29T00:00:00Z,104.97,102.17,104.88,102.94,31490547
19,MSFT.O,2019-01-30T00:00:00Z,106.38,104.33,104.62,106.38,49471866
20,MSFT.O,2019-01-31T00:00:00Z,105.22,103.18,103.8,104.43,55636391
21,MSFT.O,2019-02-01T00:00:00Z,104.0999,102.35,103.775,102.78,35535690
22,MSFT.O,2019-02-04T00:00:00Z,105.8,102.77,102.87,105.74,31315282
23,MSFT.O,2019-02-05T00:00:00Z,107.27,105.96,106.06,107.22,27325365
24,MSFT.O,2019-02-06T00:00:00Z,107.0,105.53,107.0,106.03,20609759
25,MSFT.O,2019-02-07T00:00:00Z,105.59,104.29,105.185,105.27,29760697
26,MSFT.O,2019-02-08T00:00:00Z,105.78,104.2603,104.39,105.67,21461093
27,MSFT.O,2019-02-11T00:00:00Z,106.58,104.965,106.2,105.25,18914123
28,MSFT.O,2019-02-12T00:00:00Z,107.14,105.48,106.14,106.89,25056595
29,MSFT.O,2019-02-13T00:00:00Z,107.78,106.71,107.5,106.81,18394869
30,MSFT.O,2019-02-14T00:00:00Z,107.29,105.66,106.31,106.9,21784703
31,MSFT.O,2019-02-15T00:00:00Z,108.3,107.3624,107.91,108.22,26606886
32,MSFT.O,2019-02-19T00:00:00Z,108.66,107.78,107.79,108.17,18038460
33,MSFT.O,2019-02-20T00:00:00Z,107.94,106.29,107.86,107.15,21607671
34,MSFT.O,2019-02-21T00:00:00Z,109.48,106.87,106.9,109.41,29063231
35,MSFT.O,2019-02-22T00:00:00Z,111.2,109.82,110.05,110.97,27763218
36,MSFT.O,2019-02-25T00:00:00Z,112.18,111.26,111.76,111.59,23750599
37,MSFT.O,2019-02-26T00:00:00Z,113.24,111.17,111.26,112.36,21536733
